Company Name,Title,Description,Location,Started On,Finished On
iVAS,Back End Developer,"•	Write clean, secure, test driven, easily maintainable and modular code and use some design pattern          to increase project performance and to make project easy scalable. •	Troubleshoot and debug applications. •	Act as technical lead in some project in the last 5 month. •	Perform UI / backend tests to optimize performance. •	Collaborate and work with frontend and mobile app developers on the backend needs of projects. •	Collaborate with team  •	Client communication (verbal/written) as and when required •	Utilize backend data services and contribute to increase existing data services API •	Lead the entire web application development life cycle right from concept stage to delivery and          post launch support ","11 Abo Al Karamat st, Al Agouza, Giza, Mohandessin 12654, EG",Feb 2019,
Grand,Full Time Back End Developer,•	Client communication (verbal/written) as and when required •	Utilize backend data services and contribute to increase existing data services API •	Collaborate and work with frontend and mobile app developers on the backend needs of projects. •	Lead the entire web application development life cycle right from concept stage to delivery and          post launch support ,"El Nozha El Gedida , Cairo , Egypt",Jun 2018,Oct 2018
LoadServ For Integrated Business Solution,Full Time Back End Developer,•	Collaborate and work with a team and develop myself to learn new technical. •	Help team to solve complex problem and collaborate with them. •	In some project take front end problem and work in it to improve my self in front end technology •	Lead the entire web application development life cycle right from concept stage to delivery and          post launch support ,"Masr Elgdeda , Cairo , Egypt",Jan 2018,May 2018
"Faggala Start Up , Smart Villages",Training Back End Developer,•	Learn how to work with Agile methods especially with scrum •	Learn how to work with OpenCart Cms to make system •	Learn how to search and how to be self-study ,"Cairo Governorate, Egypt",Aug 2017,Sep 2017
Innova Egypt,Intern,•	Innova is a leader in transforming Revolutionary ideas into products and quickly adopted in your          home and office •	Designing and developing innovative products and systems to improve the quality of life both in          corporate buildings and residential •	Learn how to make your startup and the lifecycle for taking your product to Light   ,"Cairo, Egypt",Jul 2017,Jul 2017
