Name
Laravel
Vue.js
MongoDB
Data Structures
Software Development
Algorithms
C++
php
JavaScript
HTML5
MySQL
jQuery
Python
C
Linux
Git
Node.js
Teamwork
Team Building
Problem Solving
Software System Analysis
Software Design Patterns
Heroku
Redis
